,fuv_mag,nuv_mag,Vmag,Bmag,err,variable
0,22.833,18.196,14.124,14.648,0.1252517464948094,1
1,21.355,14.965,10.864,11.392,0.0317647603485371,0
2,19.301,15.52,12.209,12.558,0.0566392090340251,0
3,22.932,16.382,12.155,12.716,0.0904433524367601,0
4,20.907,15.071,10.964,11.693,0.0686002915445699,0
5,23.497,18.905,14.314,14.921,0.051478150704935,0
6,23.865,18.341,14.709,15.164,0.1194738465104392,0
7,17.477,16.734,11.217,12.095,0.055217750769114,0
8,23.734,17.512,12.467,13.188,0.0735934779718964,0
9,23.989,17.347,12.875,13.482,0.0269258240356725,0
10,22.007,17.92,12.106,12.942,0.0671788657242737,1
11,21.985,17.421,14.121,14.499,0.0943716058992322,1
12,23.036,16.756,12.518,13.075,0.1009009415218708,0
13,22.066,15.899,10.489,11.388,0.2110923968313401,0
14,22.635,16.452,11.769,12.337,0.0336005952328228,0
15,22.685,19.97,15.988,16.65,0.1128007092176286,0
16,21.522,15.776,11.773,12.188,0.2034158302591025,0
17,19.188,17.925,13.44,14.123,0.0559464029227974,0
18,23.203,17.229,13.302,13.807,0.0219317121994613,0
19,19.492,19.465,14.599,15.558,0.0635295206970743,0
20,22.317,16.419,11.712,12.285,0.092200867674876,0
21,22.332,16.272,11.94,12.462,0.0490407993409569,0
22,18.129,17.275,15.064,15.695,0.1167261752992875,0
23,19.403,14.404,10.147,10.619,0.0497393204617835,0
24,22.126,20.565,15.549,16.607,0.058,0
25,20.385,16.99,14.278,14.563,0.0214709105535838,0
26,19.038,18.524,16.088,16.881,0.1668682114724071,0
27,23.385,16.987,12.112,12.681,0.0386005181312375,0
28,22.379,20.797,16.071,17.516,0.0,0
29,20.956,15.185,11.06,11.543,0.06,0
30,18.961,13.682,10.063,10.335,0.0423792402008341,0
31,23.133,18.467,14.754,15.233,0.1298499133615421,0
32,22.128,15.73,11.075,11.604,0.0347850542618521,0
33,23.109,17.053,9.037,10.18,0.0480832611206852,0
34,23.358,17.698,12.42,13.062,0.045276925690687,0
35,23.183,16.43,12.128,12.685,0.0696347614342147,0
36,16.809,16.159,14.317,14.239,0.06,0
37,20.982,14.629,9.83,10.42,0.0518652099195597,0
38,21.491,15.732,10.72,11.319,0.0586685605754905,0
39,21.816,14.967,10.196,10.764,0.0421900462194579,0
40,21.692,16.341,12.318,12.814,0.0310644491340181,0
41,22.044,16.702,12.348,12.933,0.1060424443324464,0
42,19.696,14.966,10.949,11.425,0.0488773976393997,0
43,22.338,21.17,16.092,16.911,0.173833253435584,0
44,22.61,18.295,15.048,15.507,0.0715541752799932,0
45,23.337,17.104,13.228,13.767,0.078390050389064,0
46,22.173,15.765,11.847,12.384,0.1493720187987027,0
47,24.068,17.924,13.46,14.003,0.0407062648740952,0
48,20.222,20.177,16.232,17.041,0.0,0
49,21.774,15.891,12.167,12.636,0.0180277563773199,0
50,22.717,18.204,15.582,16.01,0.0705195008490559,0
51,21.88,15.054,9.427,10.138,0.032,0
52,23.32,16.394,11.79,12.354,0.0495782210249621,0
53,23.446,16.361,10.883,11.568,0.0202484567313165,0
54,22.396,16.439,12.472,12.971,0.0348281495345359,0
